,TF score,Relative Location,Relative Length,Label
"The Solar System[a] is the gravitationally bound system of the Sun and the objects that orbit it, either directly or indirectly.",0.25572519083969464,0.0045871559633027525,0.004341632182348552,0
"[b] Of the objects that orbit the Sun directly, the largest are the eight planets,[c] with the remainder being smaller objects, the dwarf planets and small Solar System bodies.",0.3587786259541984,0.009174311926605505,0.0059697442507292585,1
"Of the objects that orbit the Sun indirectly—the moons—two are larger than the smallest planet, Mercury.",0.1583969465648855,0.013761467889908258,0.003527576148158198,0
"[d]

The Solar System formed 4.6 billion years ago from the gravitational collapse of a giant interstellar molecular cloud.",0.22614503816793893,0.01834862385321101,0.0041720371752255615,0
"The vast majority of the system's mass is in the Sun, with the majority of the remaining mass contained in Jupiter.",0.21660305343511452,0.022935779816513763,0.003900685163828777,0
"The four smaller inner planets, Mercury, Venus, Earth and Mars, are terrestrial planets, being primarily composed of rock and metal.",0.31679389312977096,0.027522935779816515,0.004477308188046944,0
"The four outer planets are giant planets, being substantially more massive than the terrestrials.",0.2452290076335878,0.03211009174311927,0.003290143138186012,0
"The two largest, Jupiter and Saturn, are gas giants, being composed mainly of hydrogen and helium; the two outermost planets, Uranus and Neptune, are ice giants, being composed mostly of substances with relatively high melting points compared with hydrogen and helium, called volatiles, such as water, ammonia and methane.",0.3912213740458016,0.03669724770642202,0.010921918458720575,0
All eight planets have almost circular orbits that lie within a nearly flat disc called the ecliptic.,0.11641221374045803,0.04128440366972477,0.003425819143884404,0
The Solar System also contains smaller objects.,0.21374045801526717,0.045871559633027525,0.0015941930669561089,0
"[e] The asteroid belt, which lies between the orbits of Mars and Jupiter, mostly contains objects composed, like the terrestrial planets, of rock and metal.",0.2948473282442748,0.05045871559633028,0.005291364222237297,0
"Beyond Neptune's orbit lie the Kuiper belt and scattered disc, which are populations of trans-Neptunian objects composed mostly of ices, and beyond them a newly discovered population of sednoids.",0.13835877862595417,0.05504587155963303,0.006614205277796621,0
"Within these populations, some objects large enough to have rounded under their own gravity, though there is considerable debate as to how many they will prove to be.",0.06679389312977099,0.05963302752293578,0.005630554236483278,0
"[9][10]
Such objects are categorized as dwarf planets.",0.09923664122137404,0.06422018348623854,0.0018316260769282952,0
Identified or accepted dwarf planets include the asteroid Ceres and the trans-Neptunian objects Pluto and Eris.,0.12404580152671757,0.06880733944954129,0.003765009158130385,0
"[e] In addition to these two regions, various other small-body populations, including comets, centaurs and interplanetary dust clouds, freely travel between regions.",0.06774809160305344,0.07339449541284404,0.00559663523505868,0
"Six of the planets, the six largest possible dwarf planets, and many of the smaller bodies are orbited by natural satellites,[f] usually termed ""moons"" after the Moon.",0.19656488549618317,0.0779816513761468,0.005664473237907876,0
Each of the outer planets is encircled by planetary rings of dust and other small objects.,0.13358778625954199,0.08256880733944955,0.0030527101282138256,0
"The solar wind, a stream of charged particles flowing outwards from the Sun, creates a bubble-like region in the interstellar medium known as the heliosphere.",0.21660305343511452,0.0871559633027523,0.005359202225086493,0
The heliopause is the point at which pressure from the solar wind is equal to the opposing pressure of the interstellar medium; it extends out to the edge of the scattered disc.,0.13549618320610685,0.09174311926605505,0.006003663252153856,0
"The Oort cloud, which is thought to be the source for long-period comets, may also exist at a distance roughly a thousand times further than the heliosphere.",0.142175572519084,0.0963302752293578,0.0053252832236618955,0
"The Solar System is located in the Orion Arm, 26,000 light-years from the center of the Milky Way galaxy.",0.174618320610687,0.10091743119266056,0.0035614951495827963,0
"For most of history, humanity did not recognize or understand the concept of the Solar System.",0.10305343511450382,0.10550458715596331,0.0031883861339122178,0
Most people up to the Late Middle Ages–Renaissance believed Earth to be stationary at the centre of the universe and categorically different from the divine or ethereal objects that moved through the sky.,0.0687022900763359,0.11009174311926606,0.006919476290618004,0
